lat,lon,District,TEHSIL,elevation,slope,aspect,roughness,dist_to_road,dist_to_building,dist_to_river,building_density,landuse_type,ndvi,rainfall_7day,rainfall_15day,label,Exposure
31.8081410548,76.1385,KANGRA,DERA GOPIPUR,895,12.272894,131.98721,17.0,22.1718814831852,3194.0124119985458,1908.677851153036,0,forest,0.42947978,35.083,76.743,1,At Risk
31.6602234831,77.3072,KULLU,BANJAR,1424,26.186998,62.592422,39.0,222.5985245142487,2212.6896744644205,297.6280001846776,0,forest,0.58802503,21.894,47.828,1,At Risk
31.4599561521,77.6727,SHIMLA,RAMPUR,1127,26.800827,320.19443,41.0,30.61917837621905,196.90009983002628,1.4175997611667055,3,forest,0.16856219,23.856,52.159,1,At Risk
31.0772882645,77.1815,SHIMLA,SHIMLA,1965,37.912567,221.63354,61.0,41.855793771691104,78.91427260320086,681.3982998601343,546,forest,-0.019838601,28.054,61.396,1,At Risk
30.5580094592,77.2922,SIRMAUR,NAHAN,877,20.887669,216.38437,29.0,52.12768180877213,251.13764937247018,2846.740583723204,15,residential,0.22651407,32.082,70.255,1,At Risk
32.251111757,77.1902,KULLU,MANALI,1932,25.523663,241.69925,38.0,4.027502977974669,88.11900682287242,64.3478082410878,236,residential,0.3116795,18.923,41.302,1,At Risk
31.0775020966,77.1811,SHIMLA,SHIMLA,1953,36.334282,236.6593,53.0,39.748406455154566,72.13071513953007,637.1189680228421,565,forest,0.024414549,28.054,61.396,1,At Risk
31.7915800159,76.1241,UNA,AMB,901,8.229361,243.43497,13.0,10.090154023482,2650.368131848752,1782.2611980378304,0,forest,0.2596923,35.083,76.743,1,At Risk
30.6031238707,77.6744,SIRMAUR,KAMRAU,1482,19.749325,234.16235,36.0,20.703074156735923,171.29753580097426,1241.9032176131611,4,residential,0.08108822,32.082,70.255,1,At Risk
31.5907603153,76.3474,UNA,BANG>NA,600,14.532263,176.42366,24.0,60.63808623187481,1326.3466187972658,736.0180933415917,0,forest,0.56330746,33.13,72.516,1,At Risk
31.1238424011,77.1012,SHIMLA,SHIMLA,1827,11.165251,214.99203,15.0,17.874122887681892,981.1664366122874,1389.8932660280425,1,forest,0.009600614,32.197,70.464,1,At Risk
31.1839176514,77.1741,SHIMLA,SUNI,1952,24.192978,149.74356,37.0,2.248264187259265,3768.68740784111,2342.1902223068737,0,forest,0.4397505,23.856,52.159,1,At Risk
31.68258065,77.2847,MANDI,BALICHAUKI,1159,14.341259,34.695152,25.0,9.705065777645808,736.5891979230536,151.18562510319535,1,forest,0.41118014,21.894,47.828,1,At Risk
31.3304934426,77.4199,SHIMLA,KUMHARSAIN,1224,19.0879,322.59464,26.0,11.909897247770157,3108.798185322115,176.97730812554488,0,farmland,0.06603301,23.856,52.159,1,At Risk
31.73575052,76.9374,MANDI,BALICHAUKI,807,9.185,270.0,14.0,27.21075424442698,2726.383523856847,204.5433905454458,0,forest,0.20946851,31.966,69.861,1,At Risk
32.2990821556,75.8807,KANGRA,NURPUR,558,10.678776,210.96376,17.0,48.13024318816607,180.87575176458253,573.1138322020624,10,forest,0.2013702,34.019,74.359,1,At Risk
31.82190711,76.9375,MANDI,PADHAR,1096,14.341259,288.43494,18.0,53.3061869897291,848.3532871655169,1357.1985733285123,1,forest,0.39080733,31.966,69.861,1,At Risk
30.5946445823,77.2962,SIRMAUR,NAHAN,938,25.676237,317.72632,40.0,10.353276474626025,2872.9979349358828,1823.7970128811596,0,forest,0.59145486,32.082,70.255,1,At Risk
31.4497771851,77.6251,KULLU,NERMAND,1096,31.709412,42.878902,50.0,128.9952593269615,453.81820892303944,130.5701955964633,9,residential,0.4974309,23.856,52.159,1,At Risk
