Cordinates,Unnamed: 1,TEHSIL,District,STATE,merged_column,clean_coords,lat,lon,label,Exposure
"31.8081410548, 76.1385",,DERA GOPIPUR,KANGRA,HIMACHAL PRADESH,,"31.8081410548, 76.1385",31.8081410548,76.1385,2,At Risk
"31.6602234831, 77.3072",,BANJAR,KULLU,HIMACHAL PRADESH,,"31.6602234831, 77.3072",31.6602234831,77.3072,2,At Risk
"31.4599561521, 77.6727",,RAMPUR,SHIMLA,HIMACHAL PRADESH,,"31.4599561521, 77.6727",31.4599561521,77.6727,2,At Risk
"31.0772882645, 77.1815",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.0772882645, 77.1815",31.0772882645,77.1815,2,At Risk
"30.5580094592, 77.2922",,NAHAN,SIRMAUR,HIMACHAL PRADESH,,"30.5580094592, 77.2922",30.5580094592,77.2922,2,At Risk
"32.251111757, 77.1902",,MANALI,KULLU,HIMACHAL PRADESH,,"32.251111757, 77.1902",32.251111757,77.1902,2,At Risk
"31.0775020966, 77.1811",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.0775020966, 77.1811",31.0775020966,77.1811,2,At Risk
"31.7915800159, 76.1241",,AMB,UNA,HIMACHAL PRADESH,,"31.7915800159, 76.1241",31.7915800159,76.1241,2,At Risk
"30.6031238707, 77.6744",,KAMRAU,SIRMAUR,HIMACHAL PRADESH,,"30.6031238707, 77.6744",30.6031238707,77.6744,2,At Risk
"31.5907603153, 76.3474",,BANG>NA,UNA,HIMACHAL PRADESH,,"31.5907603153, 76.3474",31.5907603153,76.3474,2,At Risk
"31.1238424011, 77.1012",,SHIMLA,SHIMLA,HIMACHAL PRADESH,,"31.1238424011, 77.1012",31.1238424011,77.1012,2,At Risk
"31.1839176514, 77.1741",,SUNI,SHIMLA,HIMACHAL PRADESH,,"31.1839176514, 77.1741",31.1839176514,77.1741,2,At Risk
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.68258065, 77.2847","31.68258065, 77.2847",31.68258065,77.2847,2,At Risk
"31.3304934426, 77.4199",,KUMHARSAIN,SHIMLA,HIMACHAL PRADESH,,"31.3304934426, 77.4199",31.3304934426,77.4199,2,At Risk
,,BALICHAUKI,MANDI,HIMACHAL PRADESH,"31.73575052, 76.9374","31.73575052, 76.9374",31.73575052,76.9374,2,At Risk
"32.2990821556, 75.8807",,NURPUR,KANGRA,HIMACHAL PRADESH,,"32.2990821556, 75.8807",32.2990821556,75.8807,2,At Risk
"76.7288, 31.4895624977",,GHURMW|N,BILASPUR,HIMACHAL PRADESH,,"76.7288, 31.4895624977",76.7288,31.4895624977,2,At Risk
