model,family,num_classes,train_accuracy,test_accuracy,macro_f1,weighted_f1,notebook,notes
MLP,Deep Learning (Tabular),4,0.5421,0.5267,0.46,0.49,03_mlp_model.ipynb,Test accuracy/loss reproduced from cached notebook output.
Random Forest,Bagging,4,0.9863,0.5696,0.548,0.56,06_bagging_boosting_models.ipynb,
Extra Trees,Bagging,4,0.9487,0.5591,0.554,0.5589,06_bagging_boosting_models.ipynb,
AdaBoost,Boosting,4,0.4403,0.4392,0.4302,0.4301,06_bagging_boosting_models.ipynb,
LightGBM,Boosting,4,0.6205,0.5075,0.5173,0.5115,06_bagging_boosting_models.ipynb,
CatBoost,Boosting,4,0.5709,0.5009,0.5118,0.5057,06_bagging_boosting_models.ipynb,
Bagging (Decision Tree),Bagging,4,1.0,0.5695,0.5384,0.554,06_bagging_boosting_models.ipynb,
Gradient Boosting,Boosting,4,0.5299,0.4798,0.492,0.4842,06_bagging_boosting_models.ipynb,
XGBoost,Boosting,4,0.6818,0.5378,0.4888,0.5089,06_bagging_boosting_models.ipynb,
Random Forest,Bagging,3,0.9869,0.681,0.6703,0.6711,06_bagging_boosting_models.ipynb,
Extra Trees,Bagging,3,0.949,0.667,0.6625,0.6628,06_bagging_boosting_models.ipynb,
AdaBoost,Boosting,3,0.5391,0.5408,0.5647,0.5429,06_bagging_boosting_models.ipynb,
LightGBM,Boosting,3,0.6997,0.6257,0.6314,0.6247,06_bagging_boosting_models.ipynb,
CatBoost,Boosting,3,0.674,0.6231,0.6292,0.6227,06_bagging_boosting_models.ipynb,
Bagging (Decision Tree),Bagging,3,1.0,0.6746,0.6545,0.6593,06_bagging_boosting_models.ipynb,
Gradient Boosting,Boosting,3,0.6341,0.6053,0.6147,0.6058,06_bagging_boosting_models.ipynb,
XGBoost,Boosting,3,0.7575,0.6535,0.6343,0.6327,06_bagging_boosting_models.ipynb,
CNN (Image Patches),Deep Learning (CNN - Image),3,0.6556,0.5851,0.5899,0.5859,07_cnn_image_model.ipynb,"16x16x12 spatially-interpolated patches, best val_loss checkpoint at epoch 12/20."
CNN (Image Patches),Deep Learning (CNN - Image),4,0.5348,0.4729,0.4733,0.4718,07_cnn_image_model.ipynb,"16x16x12 spatially-interpolated patches, best val_loss checkpoint at epoch 10/20."
